id,book_id,title,authors,original_publication_year,average_rating,ratings_count
191,472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",1987,4.35,398018
192,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007,4.55,400101
193,3228917,Outliers: The Story of Success,Malcolm Gladwell,2008,4.11,353011
194,153747,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",1851,3.46,358050
195,2728527,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",2008,4.12,393626
196,5759,Fight Club,Chuck Palahniuk,1996,4.2,365349
197,301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001,3.96,420764
198,11486,The Color Purple,Alice Walker,1982,4.17,376766
199,12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,2005,4.12,367304
200,16299,And Then There Were None,Agatha Christie,1939,4.23,408983
201,6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,2009,3.66,369428
202,6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009,4,448166
203,11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011,4.15,418309
204,5326,A Christmas Carol,Charles Dickens,1843,4.02,394540
205,43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,3.97,372566
206,10507293,"The Selection (The Selection, #1)",Kiera Cass,2012,4.15,505340
207,6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,1994,4.03,391007
208,6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,4.04,377249
209,23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,1988,4.14,351107
210,345627,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007,4.14,248283
211,40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005,3.89,348196
212,6867,Atonement,Ian McEwan,2001,3.88,347006
213,485894,The Metamorphosis,"Franz Kafka, Stanley Corngold",1915,3.78,364933
214,561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007,4.33,446668
215,9969571,Ready Player One,Ernest Cline,2011,4.31,349423
216,3153910,The Art of Racing in the Rain,Garth Stein,2006,4.19,327409
217,21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",2003,3.98,309385
218,13572249,"Bared to You (Crossfire, #1)",Sylvia Day,2012,4.19,222678
219,11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",1956,4.24,376385
220,3609760,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,,4.23,291411
221,60748,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,1995,4.08,311543
222,7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,1980,3.98,327122
223,249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,2001,3.82,386923
224,6487308,"Fallen (Fallen, #1)",Lauren Kate,2009,3.74,395296
225,4406,East of Eden,John Steinbeck,1952,4.35,320919
226,5886881,Dark Places,Gillian Flynn,2009,3.92,333452
227,5359,The Client,John Grisham,1993,3.97,320083
228,228333,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",2002,3.4,323762
229,24213,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",1865,4.06,340920
230,2156,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,4.13,365425
231,556602,Sarah's Key,Tatiana de Rosnay,2007,4.14,312444
232,43615,"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.99,332494
233,9712,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",1985,3.89,283806
234,439288,Speak,Laurie Halse Anderson,1999,4,360156
235,17802724,The Husband's Secret,Liane Moriarty,2013,3.92,232106
236,1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,1997,4.11,291258
237,10592,Carrie,Stephen King,1974,3.93,356814
238,242006,Running with Scissors,Augusten Burroughs,2002,3.7,293878
239,8908,World War Z: An Oral History of the Zombie War,Max Brooks,2006,4.01,312969
240,17212231,"Inferno (Robert Langdon, #4)",Dan Brown,2013,3.8,287533
241,47281,Number the Stars,Lois Lowry,1989,4.11,333638
242,13145,"Along Came a Spider (Alex Cross, #1)",James Patterson,1993,4.08,311499
243,10614,Misery,Stephen King,1987,4.11,334647
244,66559,Sharp Objects,Gillian Flynn,2006,3.92,207889
245,2839,Bridge to Terabithia,Katherine Paterson,1977,3.98,337644
246,30183,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",2007,3.79,360044
247,36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1989,4.05,314700
248,1622,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,3.94,334241
249,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005,3.97,294726
250,11387515,Wonder,R.J. Palacio,2012,4.43,228538
251,233093,The Cat in the Hat,Dr. Seuss,1957,4.15,314016
252,11235712,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,4.15,427663
253,16160797,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",2013,3.83,297712
254,6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009,3.78,356625
255,662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957,3.68,283295
256,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",2006,3.64,283516
257,13023,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,4.03,343252
258,1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",2001,4.24,263685
259,7631105,"The Scorch Trials (Maze Runner, #2)",James Dashner,2010,3.93,305643
260,4865,How to Win Friends and Influence People,Dale Carnegie,1936,4.13,282623
261,480479,Under the Tuscan Sun,Frances Mayes,1996,3.72,279264
262,19486412,Big Little Lies,Liane Moriarty,2014,4.2,306186
263,24337,Ella Enchanted,Gail Carson Levine,1997,3.97,339117
264,3876,The Sun Also Rises,Ernest Hemingway,1926,3.83,284988
265,14891,A Tree Grows in Brooklyn,Betty  Smith,1943,4.24,291909
266,13148,"Kiss the Girls (Alex Cross, #2)",James Patterson,1995,3.93,274639
267,21853621,The Nightingale,Kristin Hannah,2015,4.54,253606
268,6334,Never Let Me Go,Kazuo Ishiguro,2005,3.8,294123
269,366522,P.S. I Love You,Cecelia Ahern,2003,4.01,262921
270,12873,Rebecca,"Daphne du Maurier, Sally Beauman",1938,4.2,177384
271,18373,Flowers for Algernon,Daniel Keyes,1966,4.07,313044
272,6952,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,3.94,263199
273,1103,Snow Flower and the Secret Fan,Lisa See,2005,4.05,280475
274,22034,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",1969,4.36,256480
275,49750,An Abundance of Katherines,John Green,2006,3.63,312754
276,29579,Foundation (Foundation #1),Isaac Asimov,1951,4.13,279688
277,15783514,The Ocean at the End of the Lane,Neil Gaiman,2013,3.99,293844
278,30118,A Light in the Attic,Shel Silverstein,1981,4.34,297861
279,29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",2016,3.75,270603
280,11614718,"Delirium (Delirium, #1)",Lauren Oliver,2011,3.99,256975
281,32499,The Pelican Brief,John Grisham,1992,3.95,288376
282,17061,Coraline,Neil Gaiman,2002,4.03,316379
283,12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",1990,4.25,298304
284,70401,On the Road,Jack Kerouac,1955,3.64,246602
285,16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2013,4.01,251703
286,3063499,The Lucky One,Nicholas Sparks,2008,4.1,267166
287,2122,The Fountainhead,"Ayn Rand, Leonard Peikoff",1943,3.85,244545
288,19691,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,1984,4.01,270318
289,76620,"Watership Down (Watership Down, #1)",Richard Adams,1972,4.05,292426
290,10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,2011,3.84,290674
291,3591262,Cutting for Stone,Abraham Verghese,2009,4.28,258319
292,140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",1951,4.08,306492
293,295,Treasure Island,Robert Louis Stevenson,1882,3.82,268012
294,9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,2011,4.44,299980
295,10644930,11/22/1963,Stephen King,2011,4.29,258464
296,4948,The Very Hungry Caterpillar Board Book,Eric Carle,1969,4.29,296952
297,135479,Cat's Cradle,Kurt Vonnegut Jr.,1963,4.18,238940
298,2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,3.87,276076
299,7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",2010,4.01,228371
300,39999,The Boy in the Striped Pajamas,John Boyne,2006,4.1,285692
301,4900,Heart of Darkness,Joseph Conrad,1899,3.42,255576
302,7812659,Safe Haven,Nicholas Sparks,2010,4.19,255531
303,52529,"The Secret (The Secret, #1)",Rhonda Byrne,2006,3.62,241537
304,227711,I Know This Much Is True,Wally Lamb,1998,4.17,246917
305,10583,Pet Sematary,Stephen King,1983,3.91,256383
306,5203,She's Come Undone,Wally Lamb,1992,3.84,259576
307,1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,2011,4.57,245686
308,33724,Can You Keep a Secret?,Sophie Kinsella,2003,3.83,278747
309,6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,2011,4.16,341826
310,14748,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,2001,3.7,248804
311,3412,The Thorn Birds,Colleen McCullough,1977,4.22,255651
312,2213661,The Graveyard Book,"Neil Gaiman, Dave McKean",2008,4.12,302303
313,13158800,The Light Between Oceans,M.L. Stedman,2012,4,243526
314,28194,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",2003,3.86,285011
315,4894,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",1998,3.74,237272
316,9791,A Walk in the Woods,Bill Bryson,1997,4.05,250192
317,13214,I Know Why the Caged Bird Sings,Maya Angelou,1969,4.19,270859
318,15818107,Orphan Train,Christina Baker Kline,2013,4.14,226091
319,8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012,4.3,300553
320,13526165,"Where'd You Go, Bernadette",Maria Semple,2012,3.9,215453
321,10365,Where the Red Fern Grows,Wilson Rawls,1961,4.04,268548
322,14497,Neverwhere,Neil Gaiman,1996,4.18,268318
323,9717,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim",1984,4.08,205279
324,16068905,Fangirl,Rainbow Rowell,2013,4.12,340379
325,4473,A Prayer for Owen Meany,John Irving,1989,4.22,226964
326,32234,White Oleander,Janet Fitch,1999,3.93,245674
327,9275658,"Legend (Legend, #1)",Marie Lu,2011,4.19,299998
328,14866,Nineteen Minutes,Jodi Picoult,2007,4.1,235978
